"node","x","y","z"
"",-1.82453621924963,0.430070478770567,0.479285085612625
" and Air Conditioning (HVAC)""""""""",-1.8170006277888,0.137189615957946,0.817525225427979
" Ventilation",-1.8448003204687,0.113434536025743,0.743467374844255
"""""""""Heating",-1.86998037874795,0.113544000715358,0.749897274474351
"3D Printing",0.729522188170007,0.732221531053492,1.00446176580556
"3D Technology",-0.389033786501741,-0.727684132460494,-0.789050311366759
"A/B Testing",-1.45165682776941,-0.250555922816064,0.557405731024578
"Accounting",1.23898086595168,-0.561403238794235,-0.972747009932723
"Ad Exchange",-1.85421662462537,0.437463532911249,0.574832357121847
"Ad Network",-2.1091947214868,0.189920923686074,0.655964795864655
"Ad Retargeting",-1.45160319152385,0.295126438684312,0.51592374302218
"Ad Server",-2.11600095135635,0.392185070559938,0.620415664809733
"Ad Targeting",-2.16905942137735,0.415085788115655,0.711573354918022
"Addiction Treatment",-0.0685975093887823,1.37411264449497,-1.78785805669271
"Adult",-2.08447084274949,0.802222098398957,0.447425308169992
"Advanced Materials",0.857434582003306,0.470094069766667,2.19652022390352
"Adventure Travel",-1.45268386490251,0.99769635975656,0.407674792193586
"Advertising",-1.05208842533807,-1.26977229920752,0.0458733365167168
"Advertising Platforms",-1.23994703354262,-1.26012855682593,0.0230937832953546
"Advice",1.55903538936887,-0.260523934012135,-1.12684734187324
"Advocacy",-2.24601168715869,0.50042070181152,0.828991067712622
"Aerospace",1.60339073143051,-0.394125099742958,1.22522694851614
"Affiliate Marketing",-1.19007057881804,-0.919589983195177,0.174533649693541
"Agriculture",-0.967412715680807,2.47339651169268,0.033096567133132
"AgTech",-0.955389696720811,2.4719886587983,-0.00544493658391554
"Air Transportation",1.25379295460467,0.337690301334649,0.662124065678094
"Alternative Medicine",-0.00484679438453295,1.49069402765895,-0.983382067686096
"Alternative Protein",-0.747549830241842,2.2008543927507,-0.338924709523002
"Alumni",-2.06833824736309,0.116616885351586,0.50740080831112
"American Football",-2.21062930489037,0.0153831339008587,0.294910418250133
"Amusement Park and Arcade",-2.3981584736529,0.567364586044347,0.339591017140691
"Analytics",1.52663227541306,-1.40217454432617,-0.0380574907134164
"Android",-0.111737333285999,-0.172543953743959,0.759296953795978
"Angel Investment",1.84634223122046,-0.119748619155265,-0.761148649311962
"Animal Feed",-0.807916837130406,2.27196558960882,-0.538036758397023
"Animation",-0.978105725737274,-1.28332611743944,-0.94843575809972
"App Discovery",-2.14938150459694,0.289088908585225,0.670143461849696
"App Marketing",-2.09342897215379,0.14782151187647,0.621016191638455
"Apparel",-0.896066161375558,1.26342661824057,-1.09930343755667
"Application Performance Management",-2.0647209461875,0.473974679728023,0.730609362754785
"Application Specific Integrated Circuit (ASIC)",0.829029895974636,-0.782754037403824,1.62250310258716
"Apps",-0.427751879846898,-0.0522661317469146,-0.21244583238641
"Aquaculture",-0.859366255420116,2.37163517927692,-0.0852573710038435
"Architecture",0.376977164662374,1.07677493147493,1.06038843630277
"Archiving Service",-2.0104711264764,0.3869749277311,0.525511234027527
"Art",-1.48455142290937,-0.761214676571975,-1.481246742893
"Artificial Intelligence (AI)",1.18914963172205,-1.87352198751197,-0.167112786782754
"Asset Management",1.75904765617851,0.185965753399637,-1.05471796905366
"Assisted Living",0.306855849416171,1.07341410754027,-2.00992470149456
"Assistive Technology",-0.428465163639552,-0.788665340106932,-0.639237399868361
"Association",-0.167497508105281,1.37347588086612,-0.919388615948013
"Auctions",-1.9094223135716,0.395755303724431,0.383337690432413
"Audio",-1.50592359029879,-1.13904967979196,-0.653829947183753
"Audio Recording and Production",-1.58284386719894,-1.13335299279657,-0.573242062278932
"Audio/Visual Equipment",0.0140910931311584,-1.02381770717497,0.858567886231435
"Audiobooks",-1.62227635078267,-0.951051414898837,-0.491487265353182
"Augmented Reality",-0.487367527098057,-0.550284717908275,-0.965431942703501
"Auto Insurance",-2.30704500579721,0.165741226784069,0.299430760577484
"Automotive",1.33128600186537,0.523396454162117,1.2061589540421
"Autonomous Vehicles",1.32623186511496,0.371831372039802,1.22518825387384
"B2B",-0.104282146165144,-0.116547688469992,-0.0308579836745401
"B2C",-0.228600181265729,0.232399468037005,-0.136969694399383
"Baby",-0.521060292848202,0.304772055210971,-1.45693778337572
"Bakery",-0.840587046559252,1.87912169871985,-0.0382905634449232
"Banking",1.80129292798969,0.222744280644788,-1.04383300392061
"Baseball",-1.84886291655766,0.388447134194291,0.661145066849249
"Basketball",-2.32636574292933,0.186896721349885,0.437617938938944
"Battery",1.29111165484661,1.3683786243982,2.72200174236565
"Beauty",-0.580772993173621,1.65665974538099,-1.32036935260873
"Big Data",1.59815328213898,-0.995152346592695,0.141795552045
"Billing",0.741929134221719,-0.432671218750937,-0.58075156145063
"Biofuel",-1.91955922336798,0.4155026495089,0.384642752450581
"Bioinformatics",0.0156500350998803,2.10456782641193,-2.36911788486752
"Biomass Energy",1.15693587990256,1.14497377728727,2.69844372709978
"Biometrics",-0.317648065106173,-0.235064493098357,0.129674225942893
"Biopharma",-0.171595642897079,2.13495405362892,-2.56997290447752
"Biotechnology",-0.229177474851372,2.21974551039263,-2.67958357365563
"Bitcoin",2.64683360037126,-0.219569323097345,-1.19304383970686
"Blockchain",2.84548448368835,-0.368699262517456,-1.36155819798711
"Blogging Platforms",-2.26411269715689,0.30223243640254,0.699463492458011
"Boating",-1.73319115978932,0.843038607873416,0.42167348857805
"Bookkeeping and Payroll",1.14324710525427,-0.528038341440936,-1.13199665123011
"Books",-1.02577596691275,-0.815699907950187,-1.29590173744602
