"node","x","y","z"
"14-3-3 protein interactions",0.18201064363067,0.509061277600598,-3.01570950551819
"21st Century Education and Governance",0.246269616394592,0.693481015365169,1.87311678986622
"2D Materials and Applications",0.0573282584903651,-2.63353354848254,-1.89186205333204
"3D IC and TSV technologies",-0.200727016518158,-2.70202755356477,-1.10405502847358
"3D Modeling in Geospatial Applications",-0.280982551454715,-1.25607958795419,0.457608999828132
"3D Printing in Biomedical Research",0.0959941331743893,-1.00777783405006,-1.88833074416518
"3D Shape Modeling and Analysis",-1.35190918762416,-1.38492448648857,0.0123996345870153
"3D Surveying and Cultural Heritage",-0.853857965279119,-1.40907108072458,-0.142755085635839
"Abdominal Surgery and Complications",-0.572803902868863,2.01044980876265,-1.93936082284264
"Abdominal Trauma and Injuries",-0.733170838940993,1.80803002188195,-1.94956299417443
"Abdominal vascular conditions and treatments",-0.74477198234479,1.67902048992244,-2.3260233148531
"Academic and Historical Perspectives in Psychology",-0.558256651235136,1.63690361946808,1.39325798331916
"Academic Freedom and Politics",-0.168062568944907,1.28447711777261,2.27304624691715
"Academic integrity and plagiarism",-0.992787003913793,0.533646941676354,-0.198165196705067
"Academic Publishing and Open Access",-0.936767027475223,0.632580964929669,-0.151719019115806
"Academic Research and Education Studies",0.296055113658932,0.854991809231094,2.07985084268157
"Academic Research in Diverse Fields",0.941563860205167,2.71841160234279,1.61956858063396
"Academic Writing and Publishing",-0.92610061492224,0.637863391592251,-0.153327544829755
"Access Control and Trust",-1.90236379444554,-1.6340709618616,0.634930652044661
"Accounting and Financial Management",2.04697235102131,2.53983116266239,2.22220039706174
"Accounting and Organizational Management",-0.737858887684742,-0.185714690740776,1.89970822006982
"Accounting Education and Careers",-0.739172357595979,-0.0600656358364315,1.75649975647968
"Accounting Theory and Financial Reporting",-0.360340379765995,-0.603694573808832,2.36640567761625
"Acne and Rosacea Treatments and Effects",-0.395677552936247,1.67095118346608,-3.14929568408633
"Acoustic Wave Phenomena Research",-0.0247848825699491,-2.05735874520235,-0.199417404427339
"Acoustic Wave Resonator Technologies",-0.700207526457209,-2.57978184980188,-1.11746910989348
"Actinomycetales infections and treatment",0.140333568993566,1.73124881974343,-2.42601395756803
"Action Observation and Synchronization",-1.36750622929976,0.687330951988789,0.799605552716486
"activated carbon and charcoal",0.571739386904462,0.641216804318475,1.59290748536172
"Acupuncture Treatment Research Studies",1.07430348144799,0.249158112221849,-2.59545105331767
"Acute Ischemic Stroke Management",-1.41989368202239,1.09922272731113,-2.48699806379242
"Acute Kidney Injury Research",-0.945819598459445,1.06161814941893,-2.52096060828012
"Acute Lymphoblastic Leukemia research",-0.236644641187826,1.37981326470764,-3.13479338594435
"Acute Myeloid Leukemia Research",-0.23744102762429,1.36998439127201,-3.2232169277908
"Acute Myocardial Infarction Research",-1.20762672581561,0.950689001824019,-2.39874562282667
"Adaptive Control of Nonlinear Systems",-0.808244266745406,-2.32914129839255,0.318837309341673
"Adaptive Dynamic Programming Control",-0.833766766702276,-2.26388148891871,0.331913334908765
"Adaptive optics and wavefront sensing",-0.98843053815325,-2.29402783060862,-0.86674239260986
"Additive Manufacturing and 3D Printing Technologies",0.585032253882389,-2.71271673295979,-1.01642148543278
"Additive Manufacturing Materials and Processes",0.490033015686354,-3.01699738870463,-1.02178525120699
"Adenosine and Purinergic Signaling",-0.095819981479289,0.468205879198638,-2.77449009412637
"Adhesion, Friction, and Surface Interactions",0.247086422449628,-2.60530007696516,-0.172589431503883
"Adipokines, Inflammation, and Metabolic Diseases",-0.431920906334952,0.823884349907214,-2.37994137108693
"Adipose Tissue and Metabolism",-0.410327841404835,0.70228733046969,-2.10217049077432
"Administrative Law and Governance",1.55465852040417,2.40151130456737,2.20141302332518
"Adolescent and Pediatric Healthcare",-1.02493654126103,1.59137487793961,-0.223208274097617
"Adolescent Health and Behaviors",1.84106606096824,0.297382688284256,1.43642055222016
"Adolescent Sexual and Reproductive Health",-0.183484402734938,1.82028327765681,-0.86823772805811
"Adrenal and Paraganglionic Tumors",-0.881889799020687,1.15589906319593,-2.82089457113128
"Adrenal Hormones and Disorders",-0.825625301864025,1.04218854465925,-2.73924562969792
"Adsorption and biosorption for pollutant removal",0.826991802699727,-1.46802003153356,-1.73257067658891
"Adsorption and Cooling Systems",0.322002667897365,-2.08550947775945,-0.664859641975979
"Adsorption, diffusion, and thermodynamic properties of materials",0.131119647861284,-1.66454669675027,-1.60839854050071
"Adult and Continuing Education Topics",-0.533533333392243,0.982757344840594,1.52419831762757
"Advanced Adaptive Filtering Techniques",-1.44420158203151,-2.06369839375792,-0.0789607686493074
"Advanced Aircraft Design and Technologies",0.098897500931231,-2.07941959139211,0.0974067340859021
"Advanced Algebra and Geometry",-1.76977115832753,-2.93829269343009,0.605746274641028
"Advanced Algebra and Logic",-1.60767132128459,-2.12560719849837,0.901110127522946
"Advanced Algorithms and Applications",-0.51045304126587,-1.59667781956642,0.360087505637108
"Advanced Antenna and Metasurface Technologies",-1.22090835749458,-2.42350547379802,-0.788305322466163
"Advanced Authentication Protocols Security",-1.8460391296644,-1.81160577977388,0.318372182203969
"Advanced Banach Space Theory",-1.55461424218868,-3.03479028632406,0.586110773713443
"Advanced Bandit Algorithms Research",-1.46612924129387,-1.54697882721364,0.769282704986637
"Advanced Battery Materials and Technologies",0.431881786390152,-2.45380306063926,-1.76517254903808
"Advanced battery technologies research",0.455967165487667,-2.26121834916812,-1.86835966959298
"Advanced Battery Technologies Research",0.420374567652622,-2.37230642300759,-1.48969583404378
"Advanced biosensing and bioanalysis techniques",0.195928380924894,-1.28673677816965,-2.250073893063
"Advanced Biosensing Techniques and Applications",0.00719538470533743,-0.725133214238541,-2.195295459661
"Advanced Breast Cancer Therapies",-0.155115368158825,1.28775012845155,-2.78877625653172
"Advanced Causal Inference Techniques",-1.10630926585331,-1.67767214558745,1.20317503235981
"Advanced Cellulose Research Studies",0.99458627421105,-1.41388159501539,-1.64483994615212
"Advanced ceramic materials synthesis",0.500019119281766,-2.91840666144401,-1.16761869943038
"Advanced Chemical Physics Studies",-0.213285477487617,-2.24984370050814,-1.99063130012738
"Advanced Chemical Sensor Technologies",0.505830143861763,-0.565860576169014,-1.66306780482886
"Advanced Clustering Algorithms Research",-1.44070727615438,-1.21751186810235,0.753839775789935
"Advanced Combinatorial Mathematics",-1.77652787585958,-2.88190596893562,0.620659661180943
"Advanced Combustion Engine Technologies",0.457157286054279,-2.03024969837402,-0.538224058846637
"Advanced Computational Techniques and Applications",-0.425245166435789,-1.45182365948801,0.475421786328915
"Advanced Computational Techniques in Science and Engineering",0.625976016710028,-1.6339523158449,1.43007251017391
"Advanced Computing and Algorithms",-1.10172642938995,-0.959973397259543,0.33289710533658
"Advanced Condensed Matter Physics",-0.162896182137237,-2.80297462031778,-1.726848092361
"Advanced Control and Stabilization in Aerospace Systems",0.509253960035181,-1.83226736978287,1.16643184468337
"Advanced Control Systems Design",-0.745498436997487,-2.39440632725761,0.334402964083243
"Advanced Control Systems Optimization",-0.746390673434975,-2.40136944517553,0.286190103731941
"Advanced Data and IoT Technologies",-1.00961644448522,-1.40932213458144,0.462981580016484
"Advanced Data Compression Techniques",-1.59613949570028,-1.68129049106332,0.0531680825554523
"Advanced Data Processing Techniques",0.572658403588257,-1.63761986560678,1.47440532802888
"Advanced Data Storage Technologies",-1.79146515561688,-1.79762195506212,0.511124694168287
"Advanced Database Systems and Queries",-1.51124660036832,-1.27746469029869,0.954128319665421
"Advanced DC-DC Converters",-0.402520684209958,-2.66339729910462,-0.267182151287579
"Advanced Decision-Making Techniques",-0.171827449192005,-1.42230191409476,0.443311000584453
"Advanced Differential Equations and Dynamical Systems",-1.57922450768813,-2.95238263572772,0.435438255178862
"Advanced Differential Geometry Research",-1.52800917215036,-3.00850753940918,0.398642577855981
"Advanced Drug Delivery Systems",0.266301356973669,-0.825181864495382,-2.31121991839337
"Advanced Electrical Measurement Techniques",-0.637010884677236,-2.38757372108121,-0.611142386285054
"Advanced Electron Microscopy Techniques and Applications",-0.492243040076892,-2.36371291784252,-1.47922738780451
"Advanced Energy Technologies and Civil Engineering Innovations",0.541868241050292,-2.14178851963725,0.52799816151984
"Advanced Fiber Laser Technologies",-0.981736436389205,-2.39930386711601,-1.43274732341427
"Advanced Fiber Optic Sensors",-1.0741685131131,-2.4474434511689,-1.33020055162344
"Advanced Fluorescence Microscopy Techniques",-0.766917905897541,-1.69260701896663,-1.42331859866926
"Advanced Frequency and Time Standards",-0.763732281396942,-2.60061282662983,-1.0961944256036
"Advanced Glycation End Products research",0.21082622253264,0.206020371846437,-2.72599433543125
"Advanced Graph Neural Networks",-1.62868826053263,-1.06285885084651,0.920548086466809
"Advanced Graph Theory Research",-1.81455525730019,-2.55159897643304,0.634466864530769
"Advanced Harmonic Analysis Research",-1.51289775543539,-3.11518083280319,0.521390634599079
"Advanced Image and Video Retrieval Techniques",-1.44160323275535,-1.17746456922296,0.0756675123496054
"Advanced Image Fusion Techniques",-1.35950357568776,-1.47682744426408,-0.183228293452838
"Advanced Image Processing Techniques",-1.41046494581617,-1.5137912666618,-0.173296979192762
"Advanced Machining and Optimization Techniques",0.252691154194438,-2.72351281855098,-0.743772032440121
"Advanced machining processes and optimization",0.313830486040301,-2.72689341877989,-0.689947354225683
"Advanced Malware Detection Techniques",-1.92698142897076,-1.477106013002,0.714102375893983
"Advanced Manufacturing and Logistics Optimization",-0.739889701191594,-1.43440285202951,1.16094828298921
"Advanced materials and composites",0.479459069456004,-3.01199176915322,-1.07014194757104
"Advanced Materials and Mechanics",-0.0826185597135057,-2.19824012486969,-0.978804664115655
"Advanced Materials and Semiconductor Technologies",0.443321140206736,-2.18294492652814,0.355157466205772
"Advanced Materials Characterization Techniques",0.26428363713176,-2.87960550218213,-1.22726200676697
"Advanced Mathematical Identities",-1.72406889692659,-2.89815600404527,0.61671415271229
"Advanced Mathematical Modeling in Engineering",-1.17969411027696,-3.17495303563049,0.383092773775233
"Advanced Mathematical Physics Problems",-1.25758690223727,-3.15341343956245,0.367766601091474
"advanced mathematical theories",-1.51044557395049,-3.05958890161918,0.510555944783529
"Advanced Mathematical Theories",-1.68479441859899,-2.80745085502332,0.624414781286272
"Advanced Mathematical Theories and Applications",-1.59047509324461,-2.85876427844542,0.48678195356864
"Advanced Measurement and Detection Methods",-0.888134177457928,-1.82745931602077,-0.599827214770092
"Advanced Measurement and Metrology Techniques",-0.781781861716169,-2.08836141937911,-0.771679047265675
"Advanced Memory and Neural Computing",-1.00407462446261,-2.37502992038249,-1.04769559564902
"Advanced MEMS and NEMS Technologies",-0.777150478543862,-2.55639223670915,-0.939789083245375
"Advanced MIMO Systems Optimization",-1.71818451980989,-2.13071507298011,-0.181605183747335
"Advanced MRI Techniques and Applications",-1.03024664980631,-0.12039319662424,-1.46757895129382
"Advanced Multi-Objective Optimization Algorithms",-1.1017718652275,-1.8190281320592,0.873122479255217
"Advanced Nanomaterials in Catalysis",0.272905819433257,-1.82311460638942,-2.12086672844881
"Advanced Neural Network Applications",-1.37842138645069,-1.21812732098421,0.0474998631449033
"Advanced Neuroimaging Techniques and Applications",-1.10546510416721,0.0356210631943762,-1.3945869151139
"Advanced NMR Techniques and Applications",-0.123326546512161,-1.9797053971816,-2.13816112076237
"Advanced Numerical Analysis Techniques",-1.54756507672175,-2.5563122448323,0.471458393806849
"Advanced Numerical Methods in Computational Mathematics",-0.874675950693734,-3.02209103331348,0.213994375352773
"Advanced Operator Algebra Research",-1.7164538789884,-2.99300400038513,0.603258071620441
"Advanced Optical Imaging Technologies",-0.920750587959504,-2.02888372683917,-1.20854585250514
"Advanced Optical Network Technologies",-1.67109475585426,-1.94942787570573,-0.145668670348122
"Advanced Optical Sensing Technologies",-0.937195959214614,-2.00719102080504,-1.13265917395768
"Advanced optical system design",-0.933808308450776,-2.20423600801164,-1.0850695471703
"Advanced Optimization Algorithms Research",-1.32371779626452,-2.91362905767378,0.434708985170081
"Advanced oxidation water treatment",0.745288260406794,-1.60143572747507,-1.69724785653573
"Advanced Photocatalysis Techniques",0.353826285898983,-2.19985853883287,-2.02799663822223
"Advanced Photonic Communication Systems",-1.27514120492922,-2.31622644117378,-1.05168375537284
"Advanced Physical and Chemical Molecular Interactions",-0.0462154825270024,-2.40335697017947,-1.66936425611733
"Advanced Polymer Synthesis and Characterization",0.523203407532163,-1.87059608394991,-1.67808762336487
"Advanced Power Amplifier Design",-1.27527985704068,-2.46063320682153,-0.674978591833359
"Advanced Power Generation Technologies",0.678927005467417,-2.20593815192881,0.361486116103542
