code,x,y,z,color,node
A01C15,-0.0906882909762365,1.86719628693533,-0.0206611812524902,#448AFF,A01C15 (Fertiliser distributors)
A01C17,-0.0379700704696319,1.86992715941713,0.0617937753710897,#448AFF,A01C17 (Fertilisers or seeders with centrifugal wheels)
A01C19,-0.0166038066772808,1.87113916374483,0.104330664143817,#448AFF,A01C19 (Arrangements for driving working parts of fertilisers or seeders )
A01C21,0.0142564293578391,1.91820936045438,0.12714547216723,#448AFF,"A01C21 (Methods of fertilising , sowing or planting)"
A01C23,-0.118265395805428,1.81304046402399,-0.0393693028774069,#448AFF,"A01C23 (Distributing devices specially adapted for liquid manure or other fertilising liquid, including ammonia, e.g. transport tanks or sprinkling wagons)"
A01C3,-0.0025080931485218,1.66817526444425,-0.0035623377551788,#448AFF,A01C3 (Treating manure; Manuring)
A01C5,-0.0293728848047308,1.86819529668026,0.0817335967429538,#448AFF,"A01C5 (Making or covering furrows or holes for sowing, planting or manuring)"
A01C7,-0.0272418227814569,1.89595089948984,0.0779657431728138,#448AFF,A01C7 (Sowing)
A01C9,-0.0596875631858335,1.87795805962867,0.0344649326378844,#448AFF,A01C9 (Potato planters)
A01D,0.440156228522037,1.66928626826749,0.386992375784327,#448AFF,A01D (HARVESTING; MOWING)
A01D1,0.142659912605175,0.358350340410049,0.29061593340407,#448AFF,A01D1 (Hand-cutting implements for harvesting)
A01D11,0.126528898656241,0.442071583255636,0.328293639442264,#448AFF,A01D11 (Other hand implements )
A01D13,-0.0349223672866709,0.503791990779106,0.311978837295596,#448AFF,"A01D13 (Diggers, e.g. potato ploughs)"
A01D15,-0.0002472874909081,0.726920108524149,0.247194433322319,#448AFF,A01D15 (Digging machines with sieve graters but without conveying mechanisms)
A01D17,0.0981824423897261,0.835831437783345,0.358366789556804,#448AFF,A01D17 (Digging machines with sieving and conveying mechanisms)
A01D21,-0.0420553289084555,0.651506899653669,0.329755361968931,#448AFF,A01D21 (Digging machines with potato-picking implements)
A01D2101,0.401396225662159,1.62359903828157,0.3698501447046,#448AFF,A01D2101 (Lawn-mowers)
A01D23,-0.0651573645853366,0.502011217991611,0.377264470087673,#448AFF,A01D23 (Topping machines)
A01D25,-0.0503734910768466,0.420185324838128,0.318317651197546,#448AFF,A01D25 (Lifters for beet or like crops)
A01D27,-0.0517355141273081,0.462856231078366,0.337919554328707,#448AFF,A01D27 (Machines with both topping and lifting mechanisms)
A01D29,-0.0546275486730596,0.358083517220813,0.279351884408279,#448AFF,A01D29 (Harvesters for peanuts)
A01D31,-0.0408901658375272,0.538194445489682,0.420431488051148,#448AFF,A01D31 (Other digging harvesters )
A01D33,0.067805209799421,1.15190355150685,0.265960604029757,#448AFF,A01D33 (Accessories for digging harvesters)
A01D34,0.448656242363133,1.65107173169234,0.395980513715294,#448AFF,A01D34 (Mowers; Mowing apparatus of harvesters)
A01D37,-0.0338939886181468,0.0576965361526176,-0.133794238410888,#448AFF,A01D37 (Reaper-binders)
A01D41,0.447628290859564,1.66633258270535,0.361004080281586,#448AFF,"A01D41 (Combines, i.e. harvesters or mowers combined with threshing devices)"
A01D42,0.415297700878325,1.49688781364387,0.352459653920683,#448AFF,A01D42 (Mowers convertible to apparatus for purposes other than mowing; Mowers capable of performing operations other than mowing)
A01D43,0.464140588672602,1.67030701679304,0.381999437943488,#448AFF,A01D43 (Mowers combined with apparatus performing additional operations while mowing)
A01D44,0.0899012844663544,0.631038922963602,0.363993600455355,#448AFF,"A01D44 (Harvesting of underwater plants, e.g. harvesting of seaweed)"
A01D45,0.37326705189642,1.58404959721827,0.367657877595968,#448AFF,A01D45 (Harvesting of standing crops)
A01D46,0.313485474908745,1.38001570671806,0.300386654932767,#448AFF,"A01D46 (Picking of fruits, vegetables, hops, or the like; Devices for shaking trees or shrubs)"
A01D47,0.286038257520509,1.49732927688356,0.353636683736189,#448AFF,"A01D47 (Headers for topping of plants, e.g. stalks with ears)"
A01D51,0.305203784822888,1.26513206326862,0.321562697912864,#448AFF,"A01D51 (Apparatus for gathering together crops spread on the soil, e.g. apples, beets, nuts, potatoes , cotton, cane sugar)"
A01D57,0.391942077189591,1.64969981953375,0.385282387165368,#448AFF,A01D57 (Delivering mechanisms for harvesters or mowers)
A01D59,0.154714590302956,0.12986023948616,0.051700786310513,#448AFF,A01D59 (Equipment for binding harvested produce)
A01D61,0.420927054333464,1.65674499273365,0.375597415017552,#448AFF,A01D61 (Elevators or conveyors for binders or combines)
A01D63,0.194014932656741,1.27678177880243,0.35641698165302,#448AFF,A01D63 (Outside dividers)
A01D65,0.147278774830775,0.922701268859348,0.27951062596302,#448AFF,A01D65 (Grain-crop lifters)
A01D67,0.416619857893206,1.6673762152195,0.360421438451472,#448AFF,A01D67 (Undercarriages or frames specially adapted for harvesters or mowers; Mechanisms for adjusting the frame; Platforms)
A01D69,0.458504435959736,1.66774233374604,0.392702996595197,#448AFF,A01D69 (Driving mechanisms or parts thereof for harvesters or mowers)
A01D7,0.139509874009976,0.462255907492421,0.372685115502058,#448AFF,A01D7 (Rakes)
A01D75,0.464022842859123,1.64536111726094,0.355250786928797,#448AFF,A01D75 (Accessories for harvesters or mowers)
A01D76,0.0034229271482125,0.213708495271277,-0.0224793910392516,#448AFF,A01D76 (Haymakers with tines that are stationary with respect to the machine during operation but that may be liftable for dumping)
A01D78,0.323499110253605,1.67206927692907,0.395146298409069,#448AFF,A01D78 (Haymakers with tines moving with respect to the machine)
A01D80,0.311477419667852,1.51640244520633,0.369562924683212,#448AFF,"A01D80 (Parts or details of , or accessories for, haymakers)"
A01D82,0.426117972955369,1.63085659546112,0.365514180746252,#448AFF,"A01D82 (Crop conditioners, i.e. machines for crushing or bruising stalks)"
A01D84,0.328806514167518,1.60011509879086,0.386518606696787,#448AFF,A01D84 (Haymakers not provided for in a single one of groups A01D76/00 - A01D82/00)
A01D85,0.531496114093991,1.63403927438885,0.373048912307404,#448AFF,A01D85 (Arrangements for making or setting stacks)
A01D87,0.526589686938246,1.60917311765569,0.371644116176645,#448AFF,A01D87 (Loaders for hay or like field crops)
A01D89,0.531245981138011,1.58400644960615,0.36057300703978,#448AFF,"A01D89 (Pick-ups for loaders, chaff-cutters, balers, field-threshers, or the like , i.e. attachments for picking-up hay or the like field crops)"
A01D9,-0.0335175692051341,0.17527065605519,-0.0491076587159874,#448AFF,A01D9 (Forks )
A01D90,0.559437158642665,1.67761449693805,0.354441663170505,#448AFF,A01D90 (Vehicles for carrying harvested crops with means for selfloading or unloading)
A01D91,0.363725089206642,1.57480445341124,0.354737025875153,#448AFF,A01D91 (Methods for harvesting agricultural products)
A01D93,0.238106139946627,0.828828976764797,0.223508312882789,#448AFF,A01D93 (Harvesting apparatus not provided for in other groups of this subclass)
